,correlation_accuracy_train,correlation_accuracy_test,correlation_accuracy_test_train
books_kitchen_l2, 0.75050838408883824, 0.69616320096360584, 0.19922699667172028
books_kitchen_l1, -0.4873305250188914, -0.78672761463543839, -0.97987052588464241
books_electronics_l1, -0.26726905146093144, -0.47630621611682156, -0.83668936486373202
books_electronics_l2, 0.21845348101935694, 0.13000318074028977, -0.2376428850614577
dvd_electronics_l2, 0.76802203318752682, 0.79559237173413899, 0.7757109231287973
dvd_electronics_l1, -0.44809402648542118, -0.37815673792383581, 0.69805523780331269
dvd_books_l1, -0.67683755556331815, -0.42888564702272669, 0.92890355387282608
dvd_books_l2, 0.95870895676243628, 0.93391895548944204, 0.38615014819734778
books_dvd_l1, -0.49427438930420364, -0.72818058646477102, -0.94804453673932254
books_dvd_l2, 0.61897295457873036, 0.40701739422050792, -0.86861237369897148
kitchen_books_l2, -0.0096005612212501767, 0.081427703482416486, 0.49184549649960374
electronics_dvd_l2, 0.47303148673126588, 0.40701739422050792, -0.58856579815366195
electronics_dvd_l1, -0.67923790341502632, -0.73538337574027879, -0.90453979193101974
kitchen_books_l1, -0.86137605010885587, -0.60288474784887791, 0.99548735367739616
kitchen_electronics_l1, -0.6202353249217839, -0.483152142505271, 0.93892802610957704
kitchen_electronics_l2, 0.14517643450702702, 0.13000318074028977, -0.093964840540166863
dvd_kitchen_l1, -0.71835788127811762, -0.78091513685117342, -0.91591223845272063
dvd_kitchen_l2, 0.62483876687903528, 0.69616320096360584, 0.76628480022158396
electronics_kitchen_l1, -0.63379275102973354, -0.75740568173731437, -0.98910259741984041
electronics_kitchen_l2, 0.75024504024985839, 0.77087692526907825, 0.10238286406856725
kitchen_dvd_l1, -0.80201208746396491, -0.74190941674620403, 0.93302685052144096
kitchen_dvd_l2, 0.52248142174190582, 0.40701739422050792, -0.7305065348664157
electronics_books_l1, -0.54008041512041149, -0.34027828973176666, 0.87011249358261167
electronics_books_l2, 0.82620548268552108, 0.90078437064120287, -0.13713275833344915
