,accuracy,cohere1-train,cohere2-train,cohere3-train,cohere4-train,cohere1-test,cohere2-test,cohere3-test,cohere4-test
LR_l1_c0.01_books_dvd,0.4095349746,3.1800995419,22.4005107576,8.6671657678,75.9339299703,-44.2588028571,85.8780436274,73.2703197473,78.2466360804
LR_l1_c0.01_books_electronics,0.4155227927,3.1800995419,22.4005107576,8.6671657678,75.9339299703,-8.985267206,74.3160319857,27.5886799949,67.7088035587
LR_l1_c0.01_books_kitchen,0.4202757817,3.1800995419,22.4005107576,8.6671657678,75.9339299703,52.2389827399,119.4621370243,71.9827240305,77.7998859022
LR_l1_c0.01_dvd_electronics,0.4155227927,-44.2588028571,85.8780436274,73.2703197473,78.2466360804,-8.985267206,74.3160319857,27.5886799949,67.7088035587
LR_l1_c0.01_dvd_kitchen,0.4206642066,-44.2588028571,85.8780436274,73.2703197473,78.2466360804,52.2389827399,119.4621370243,71.9827240305,77.7998859022
LR_l1_c0.01_electronics_kitchen,0.4204699942,-8.985267206,74.3160319857,27.5886799949,67.7088035587,52.2389827399,119.4621370243,71.9827240305,77.7998859022
LR_l1_c0.1_books_dvd,0.5314576006,-25.2825951425,-20.73619225,-37.8169160551,-30.346287531,-48.7354790689,-25.3668436333,-43.1379224507,-39.6483753428
LR_l1_c0.1_books_electronics,0.4853414675,-25.2825951425,-20.73619225,-37.8169160551,-30.346287531,-28.875306439,-28.252549708,-47.1905958113,-39.652121261
LR_l1_c0.1_books_kitchen,0.566323558,-25.2825951425,-20.73619225,-37.8169160551,-30.346287531,-28.5104554827,-53.5971016496,-45.0042683473,-37.1784745365
LR_l1_c0.1_dvd_electronics,0.4853414675,-48.7354790689,-25.3668436333,-43.1379224507,-39.6483753428,-28.875306439,-28.252549708,-47.1905958113,-39.652121261
LR_l1_c0.1_dvd_kitchen,0.566323558,-48.7354790689,-25.3668436333,-43.1379224507,-39.6483753428,-28.5104554827,-53.5971016496,-45.0042683473,-37.1784745365
LR_l1_c0.1_electronics_kitchen,0.566323558,-28.875306439,-28.252549708,-47.1905958113,-39.652121261,-28.5104554827,-53.5971016496,-45.0042683473,-37.1784745365
LR_l1_c1.0_books_dvd,0.5267682689,36.555896568,60.973639462,54.3151546779,34.7829266184,43.7209624517,36.6929697101,56.7312874869,48.8676767196
LR_l1_c1.0_books_electronics,0.4743263854,36.555896568,60.973639462,54.3151546779,34.7829266184,44.7234427889,63.8528678097,62.3472976984,63.7286283875
LR_l1_c1.0_books_kitchen,0.5599145465,36.555896568,60.973639462,54.3151546779,34.7829266184,48.1548061254,52.3851266547,53.4854470661,30.5880984328
LR_l1_c1.0_dvd_electronics,0.4743263854,43.7209624517,36.6929697101,56.7312874869,48.8676767196,44.7234427889,63.8528678097,62.3472976984,63.7286283875
LR_l1_c1.0_dvd_kitchen,0.560108759,43.7209624517,36.6929697101,56.7312874869,48.8676767196,48.1548061254,52.3851266547,53.4854470661,30.5880984328
LR_l1_c1.0_electronics_kitchen,0.5599145465,44.7234427889,63.8528678097,62.3472976984,63.7286283875,48.760696523,52.3851266547,53.4854470661,30.5880984328
LR_l1_c10.0_books_dvd,0.5127002735,64.0193547747,79.999494085,69.2925737231,65.0158856375,66.7941595668,63.2971052595,69.5201275491,58.7725844359
LR_l1_c10.0_books_electronics,0.4609388239,64.0193547747,79.999494085,69.2925737231,65.0158856375,64.1315788057,86.2946521674,80.8219439322,77.5804260436
LR_l1_c10.0_books_kitchen,0.541464362,64.0193547747,79.999494085,69.2925737231,65.0158856375,57.3016779452,79.6718891115,79.6317425359,63.1883466641
LR_l1_c10.0_dvd_electronics,0.4621250635,63.9548337451,63.2971052595,69.5201275491,58.7725844359,64.2838043668,85.1798205305,81.2856839484,77.5804260436
LR_l1_c10.0_dvd_kitchen,0.5410759371,63.9548337451,63.2971052595,69.5201275491,58.7725844359,57.1900028668,79.8004335284,79.6317425359,58.9467639067
