,cv1,cv2,cv3,cv4,cv5,coherence1,coherence2,coherence3,coherence4,coherence5,coherence6,coherence7,coherence8,coherence9,coherence10,coherence11,coherence12,coherence13,coherence14,coherence15,coherence16,coherence17,coherence18,coherence19,coherence20
LR_l1_c1.0_M5_default,0.8830238727,0.888564606,0.8949323428,0.8705226851,0.8821968692,-17.8153885311,-20.6202775054,-27.9734702004,-14.8476753045,-23.7577816106,-28.5822179769,-26.2202491796,-22.1675547466,-34.7098632173,-25.7790648951,-28.2281927664,-30.1050413171,-13.7838465012,-22.1307468671,-27.7868532662,-32.1228356926,-26.0933203084,-30.8077033127,-13.5908258196,-21.465391164
LR_l1_c1.0_M20_default,0.8830238727,0.888564606,0.8949323428,0.8705226851,0.8821968692,-605.4819409999,-588.973103943,-583.3298584576,-488.9761730025,-697.7841375804,-593.7301671891,-810.701062968,-627.4645705561,-760.8615694026,-712.3589189015,-715.1404418272,-839.5796252707,-534.2925850429,-649.3716819727,-782.4223592084,-717.7449826619,-600.997936707,-687.7896007188,-477.9436120919,-597.5663009328
LR_l1_c1.0_M50_default,0.8830238727,0.888564606,0.8949323428,0.8705226851,0.8821968692,-4204.5425482213,-3964.0123782425,-3613.8886815813,-3222.3515231129,-4093.9022235317,-3928.7979577306,-5136.7265976205,-4338.5392586942,-4437.2630732147,-4684.3897034266,-3816.0758438357,-5278.4316432301,-3927.8075680259,-4177.5776139368,-4419.0185297257,-4529.1408036415,-4182.0734580285,-4545.9215646397,-3717.410602148,-3730.677560211
LR_l1_c1.0_M100_default,0.8830238727,0.888564606,0.8949323428,0.8705226851,0.8821968692,-17908.6273663042,-15459.8903305433,-14896.8824275866,-13782.369715155,-16007.9878381126,-15084.0836168137,-20639.5790606819,-17853.9145269396,-17577.7525758997,-18376.1838285922,-15275.2557603464,-21767.504191436,-16455.0621060487,-17046.9058064431,-17525.7975142251,-18850.5091608798,-18151.7680646363,-19042.3575963112,-16219.5931866752,-15992.9374037115
LR_l1_c1.0_M5_OC-Auto-PMI,0.8830238727,0.888564606,0.8949323428,0.8705226851,0.8821968692,16.6804147202,18.741589474,11.806342493,25.0254710709,9.2375348546,16.7580295959,-6.13638958,18.4836689821,-3.6194448233,5.8622482458,6.6034179592,-1.7574677556,19.6854244258,7.2779124536,-4.2141896532,1.7208810756,14.0193513731,8.3576524605,29.9112080412,17.1766368331
LR_l1_c1.0_M20_PMI,0.8830238727,0.888564606,0.8949323428,0.8705226851,0.8821968692,410.4854657317,501.1876453167,531.2321699825,719.5900733355,356.4077981862,436.2570239862,168.9463907306,403.1571217509,334.6419642541,274.3142880028,444.0140726892,58.9888738971,473.5366614241,457.7392970136,238.6167443217,309.7484372432,468.0670982973,464.8693247302,649.6449879221,492.598058454
LR_l1_c1.0_M50_OC-Auto-PMI,0.8830238727,0.888564606,0.8949323428,0.8705226851,0.8821968692,2917.9475623161,3632.724145411,4012.0954967775,4944.8075729457,3603.5174989913,3730.7689991313,1319.5431869303,2614.6808975752,3201.2764802194,2417.2535012089,4241.9585564486,768.1743599539,3501.5977280068,3071.4011540522,3172.9034285482,2667.7480751015,3036.9860203884,2075.1650359146,3501.4208766917,4118.6946686013
LR_l1_c1.0_M100_OC-Auto-PMI,0.8830238727,0.888564606,0.8949323428,0.8705226851,0.8821968692,9825.4393691566,16817.7379213789,16122.8126537167,18204.9428938706,15537.2867537417,17079.6756771201,6985.0827856955,12162.1790336901,11237.9204671775,10471.4620151569,16031.3432806374,2792.5076537538,12867.8418232007,13855.4996936829,10852.5911241042,7023.4141194625,9058.8411838405,7684.2402111576,12714.7928276771,13209.8366502755
LR_l1_c1.0_M5_OC-Auto-NPMI,0.8830238727,0.888564606,0.8949323428,0.8705226851,0.8821968692,1.6944656525,1.9320816454,1.199337197,2.5421910593,0.9383870717,1.7023500932,-0.6233598833,1.8776476933,-0.3676782045,0.5955114705,0.6708025615,-0.1785308577,1.9997269914,0.7393205074,-0.428094849,0.1748142311,1.42414381,0.8490049718,3.0385044677,1.7448739511
LR_l1_c1.0_M20_NPMI,0.8830238727,0.888564606,0.8949323428,0.8705226851,0.8821968692,45.354199095,50.6964174756,57.2757813108,73.0755332895,35.7864804146,46.1522149214,17.0251467958,40.9543711484,32.8396848144,27.9130670596,37.714074477,5.9600859496,48.1038164479,39.218591703,27.1811923397,32.7469130225,43.3773829291,44.3276665882,66.0447637568,49.8897785876
